"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3b","0.11783907230272654","0.09261187281287937","5000","2380","574","0.4761047790441912","0.11497700459908018","0.24149517009659804","0.09117176564687063","-2.2882215878454417","3872","151"
"fig3b","0.11783907230272654","0.1","5000","2416","529","0.4833033393321336","0.10597880423915217","0.2192800992966487","0.08181363727254548","-2.2809973931704235","3873","152"
"fig3b","0.11783907230272654","0.10797751623277094","5000","2408","592","0.48170365926814634","0.11857628474305139","0.24616023246160235","0.09449110177964407","-2.273173335049023","3874","153"
"fig3b","0.11783907230272654","0.11659144011798317","5000","2393","526","0.4787042591481704","0.10537892421515697","0.22013366750208857","0.08144371125774845","-2.2646975195965524","3875","154"
"fig3b","0.11783907230272654","0.12589254117941676","5000","2371","529","0.47430513897220555","0.10597880423915217","0.22344013490725126","0.08226354729054189","-2.255513204690999","3876","155"
"fig3b","0.11783907230272654","0.13593563908785256","5000","2366","594","0.47330533893221355","0.11897620475904819","0.2513730460498521","0.0953109378124375","-2.245558284175729","3877","156"
"fig3b","0.11783907230272654","0.14677992676220697","5000","2321","535","0.46430713857228556","0.10717856428714258","0.23083548664944015","0.0839632073585283","-2.2347647058412576","3878","157"
"fig3b","0.11783907230272654","0.15848931924611134","5000","2268","505","0.4537092581483703","0.10117976404719056","0.2230057293962098","0.07849430113977204","-2.223057812493721","3879","158"
"fig3b","0.11783907230272654","0.1711328304161781","5000","2347","526","0.46950609878024396","0.10537892421515697","0.22444633730834754","0.08190361927614477","-2.210355593193583","3880","159"
"fig3b","0.11783907230272654","0.18478497974222907","5000","2342","465","0.46850629874025196","0.09318136372725455","0.1988903115663679","0.06975604879024196","-2.1965678289313644","3881","160"
"fig3b","0.11783907230272654","0.19952623149688797","5000","2358","534","0.47170565886822635","0.10697860427914417","0.2267910131411615","0.08339332133573285","-2.1815951133922624","3882","161"
"fig3b","0.11783907230272654","0.21544346900318834","5000","2348","515","0.46970605878824234","0.10317936412717456","0.21966794380587484","0.07969406118776244","-2.16532772473019","3883","162"
"fig3b","0.11783907230272654","0.23263050671536262","5000","2294","517","0.4589082183563287","0.10357928414317137","0.22570806100217866","0.08063387322535494","-2.147644318022344","3884","163"
"fig3b","0.11783907230272654","0.25118864315095796","5000","2313","519","0.46270745850829836","0.10397920415916817","0.2247191011235955","0.08084383123375324","-2.1284103996438546","3885","164"
"fig3b","0.11783907230272654","0.27122725793320285","5000","2288","509","0.45770845830833834","0.10197960407918416","0.22280471821756226","0.07909418116376724","-2.1074765331934486","3886","165"
"fig3b","0.11783907230272654","0.29286445646252357","5000","2277","490","0.45550889822035595","0.09818036392721456","0.21553994732221246","0.07540491901619677","-2.084676210329974","3887","166"
"fig3b","0.11783907230272654","0.31622776601683794","5000","2311","502","0.46230753849230155","0.10057988402319536","0.21756055363321797","0.07746450709858027","-2.0598232964450176","3888","167"
