"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.013593563908785255","0.006309573444801929","5000","3195","3156","0.6390721855628875","0.6312737452509498","0.9877972465581977","0.5993201359728054","-0.024542749762616722","149","149"
"fig3a","0.013593563908785255","0.007356422544596414","5000","3301","3235","0.6602679464107178","0.6470705858828234","0.9800121138703816","0.6140571885622875","-0.028599536849895912","150","150"
"fig3a","0.013593563908785255","0.008576958985908946","5000","3249","3212","0.649870025994801","0.6424715056988602","0.9886153846153847","0.6099780043991202","-0.03332394661771332","151","151"
"fig3a","0.013593563908785255","0.01","5000","3282","3282","0.6564687062587482","0.6564687062587482","1.0","0.6236452709458108","-0.038824791377351175","152","152"
"fig3a","0.013593563908785255","0.01165914401179831","5000","3379","3214","0.675864827034593","0.642871425714857","0.9511834319526628","0.6090781843631273","-0.04522823701915968","153","153"
"fig3a","0.013593563908785255","0.013593563908785255","5000","3363","3380","0.6726654669066187","0.6760647870425914","1.0","0.6424315136972605","-0.05268043239078679","154","154"
"fig3a","0.013593563908785255","0.01584893192461114","5000","3392","3382","0.6784643071385723","0.6764647070585883","0.9970527556734453","0.6425414917016596","-0.06135048613464278","155","155"
"fig3a","0.013593563908785255","0.018478497974222907","5000","3442","3383","0.6884623075384922","0.6766646670665867","0.9828637815858264","0.642241551689662","-0.0714338173006297","156","156"
"fig3a","0.013593563908785255","0.021544346900318843","5000","3446","3459","0.6892621475704859","0.6918616276744651","1.0","0.6573985202959408","-0.08315589949262403","157","157"
"fig3a","0.013593563908785255","0.025118864315095794","5000","3483","3463","0.6966606678664267","0.6926614677064588","0.9942594718714123","0.6578284343131374","-0.0967764068986412","158","158"
"fig3a","0.013593563908785255","0.029286445646252372","5000","3552","3429","0.7104579084183164","0.6858628274345131","0.965381367858148","0.6503399320135973","-0.11259375233578339","159","159"
"fig3a","0.013593563908785255","0.034145488738336005","5000","3496","3484","0.6992601479704059","0.6968606278744252","0.9965684872748071","0.6618976204759048","-0.13094997954809173","160","160"
"fig3a","0.013593563908785255","0.039810717055349734","5000","3562","3569","0.7124575084983004","0.7138572285542891","1.0","0.6782343531293741","-0.15223593083356945","161","161"
"fig3a","0.013593563908785255","0.046415888336127774","5000","3592","3511","0.7184563087382524","0.7022595480903819","0.9774561647648204","0.6663367326534693","-0.17689655166441298","162","162"
"fig3a","0.013593563908785255","0.054116952654646375","5000","3651","3504","0.730253949210158","0.7008598280343932","0.9597480832420592","0.6643471305738853","-0.20543610982369387","163","163"
"fig3a","0.013593563908785255","0.0630957344480193","5000","3641","3514","0.728254349130174","0.7028594281143771","0.9651290499725425","0.6664467106578684","-0.2384229893017391","164","164"
"fig3a","0.013593563908785255","0.07356422544596414","5000","3646","3539","0.729254149170166","0.7078584283143371","0.9706608171099533","0.6713957208558288","-0.2764935578200607","165","165"
"fig3a","0.013593563908785255","0.08576958985908938","5000","3634","3496","0.7268546290741852","0.6992601479704059","0.9620357634112792","0.6629174165166967","-0.32035438760499346","166","166"
