flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.44,0.45000000000000001,0.44500000000000001,1.0642698233328419e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.45000000000000001,0.46000000000000002,0.45500000000000002,4.0096015167618098e-14
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.46000000000000002,0.46999999999999997,0.46499999999999997,1.7292736342558562e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.46999999999999997,0.47999999999999998,0.47499999999999998,7.3088097831069798e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.47999999999999998,0.48999999999999999,0.48499999999999999,2.9608279630962777e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.48999999999999999,0.5,0.495,1.9743532526469039e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.5,0.51000000000000001,0.505,7.8827554080208269e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.51000000000000001,0.52000000000000002,0.51500000000000001,6.8424858029235661e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.52000000000000002,0.53000000000000003,0.52500000000000002,2.8628190584260502e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.53000000000000003,0.54000000000000004,0.53500000000000003,4.2860220139923823e-13
