"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"158","0.01","0.264468","10000","27.782034836241507","3.884094012867024","5.209692420433328","8.403591620150223","1.4664971327214704","1.8434554253132827"
"159","0.01","0.276066","10000","27.7342592151424","3.8151274729077613","5.370820714459228","8.734348618066292","1.4882941906425247","1.8702350336216271"
"160","0.01","0.288172","10000","27.684440808690226","3.8621812182656754","5.336511203134194","8.769471417256796","1.5006562957538105","1.8858765448514783"
"161","0.01","0.30081","10000","27.632487399218746","3.8459559529507032","5.302102451182122","8.558727537742925","1.4935256968757604","1.8385163281108188"
"162","0.01","0.314001","10000","27.578319784775942","3.914420739651007","5.388657611064957","8.862706775012555","1.5141800719997005","1.8761522216132067"
"163","0.01","0.327771","10000","27.521838957314515","3.952831897458907","5.306969299672971","8.538551482430591","1.533282173012558","1.8726099160471605"
"164","0.01","0.342145","10000","27.462950833672096","3.879117886661845","5.222005205677988","8.335681773397539","1.4914333118210448","1.8129821355332534"
"165","0.01","0.35715","10000","27.401554014551323","3.8806888285519108","5.373189210689702","8.494842764568432","1.526257303549397","1.8601598190228028"
"166","0.01","0.372812","10000","27.33755214234418","3.922346070653134","5.266103233009176","8.209073054513624","1.5234175389768176","1.822442716416579"
"167","0.01","0.389161","10000","27.270833541594982","3.836387280389033","5.309100163488836","8.537245290234694","1.5249742090490057","1.8550270759346197"
"168","0.01","0.406227","10000","27.20128768482067","3.9702465552645663","5.362674186992365","8.617752668195578","1.5686326597883389","1.8775450777548064"
"169","0.01","0.424042","10000","27.12879713189119","3.978864794407116","5.355198604556335","8.311663909143817","1.5547433459691158","1.843513286708673"
"170","0.01","0.442637","10000","27.05324984730322","3.829413886238342","5.13945080230269","8.306729585806863","1.5240226403309465","1.8125584636765266"
"171","0.01","0.462049","10000","26.974510879397542","3.908551930663293","5.378766457216102","8.853390179379062","1.586612556811353","1.8778651635669357"
"172","0.01","0.482311","10000","26.892463111937275","3.778064892647251","5.168272193863686","8.283302145135565","1.5333005747131494","1.770024775884613"
"173","0.01","0.503462","10000","26.806966836813103","3.9583922859974336","5.260875958422616","8.323923321357086","1.5870865480536522","1.8222505781183185"
"174","0.01","0.525541","10000","26.71788426415702","3.961453148101441","5.305643075617809","8.37515297640357","1.5984326135311262","1.8134385644411144"
"175","0.01","0.548588","10000","26.625075618349","4.060308558927943","5.476499685631438","8.884579674976976","1.638506850348107","1.8997206590545215"
"176","0.01","0.572645","10000","26.528395288618185","3.996142069694315","5.449830338007928","8.995509804095605","1.629670780241793","1.8966535766753585"
"177","0.01","0.597758","10000","26.427684035686866","3.868431884691063","5.275446240763017","8.54101632202969","1.6063199368287866","1.8170021145943829"
"178","0.01","0.623971","10000","26.32279329858727","4.016950642850759","5.4233146495100755","8.71608780709846","1.6561062440410126","1.853265756398125"
"179","0.01","0.651335","10000","26.213549377956667","4.059731479210427","5.469056902521402","8.45750317014955","1.6793950268743087","1.8466585939413622"
"180","0.01","0.679898","10000","26.099793720885827","3.9841159206050634","5.275159030566556","8.386190914117606","1.6501762006121432","1.8111128966632917"
"181","0.01","0.709714","10000","25.98134725913218","4.104379960544577","5.537995360237176","8.980415062531165","1.701611414144792","1.9023172883373092"
"182","0.01","0.740838","10000","25.858030707544174","4.018006901802096","5.36157013060938","8.487574559324571","1.6802617133457032","1.8055329106456646"
"183","0.01","0.773326","10000","25.729664847942672","4.001854251245788","5.385736055240841","8.69779384437669","1.6958682484381133","1.8325932203608895"
"184","0.01","0.807239","10000","25.596055093000928","3.9586511179117565","5.4078309923963275","8.489099005007063","1.6987144060876522","1.8128003715793182"
"185","0.01","0.842639","10000","25.45700773244556","4.053958357247552","5.413872093721011","8.434255761732572","1.7443582123543928","1.8130496293063758"
"186","0.01","0.879592","10000","25.312318559330663","4.002480426716318","5.447828961676862","8.633829002793789","1.712567278060687","1.8125450518388022"
"187","0.01","0.918165","10000","25.161785128686347","3.976249016540976","5.470748855390639","8.73560260771734","1.7388495220791584","1.8013810488128998"
"188","0.01","0.95843","10000","25.005191637867085","4.132280351568625","5.384757390195034","8.699308380279092","1.7816663017125978","1.85258420638055"
"189","0.01","1.0","10000","24.844104352085196","4.153562720527702","5.587490948774814","8.551125928978081","1.780898265585772","1.807280468110358"
"190","0.0105056","0.0003","10000","28.882764930455494","3.8423360866314056","5.265106487369337","8.44797952537266","1.3769540842872097","1.8974303809747097"
"191","0.0105056","0.0003133","10000","28.88270308426496","3.8829013623215474","5.3347374067236615","8.787581170556962","1.3965163747087848","1.9426988021184644"
"192","0.0105056","0.00032704","10000","28.882639192116528","3.7707416689491993","5.146054925762371","8.221324480448231","1.3546368740365586","1.8698466455680878"
"193","0.0105056","0.000341381","10000","28.882572505351675","3.8124496536333368","5.199031436136181","8.253709028161893","1.3699597674859403","1.8614011882370798"
"194","0.0105056","0.000356352","10000","28.882502889130876","3.908246508536024","5.426281078561999","8.677705864540258","1.39392654171938","1.9239814689472234"
"195","0.0105056","0.00037198","10000","28.882430217916692","3.8044118606771917","5.255408993482661","8.553921164928852","1.3587275531528613","1.8807643691951565"
